,Open,High,Low,Close,Adj Close,Volume,US covid deaths
2020-01-06,237.1999969482422,240.4499969482422,236.55999755859372,240.3000030517578,210.8607940673828,1802800,0.0
2020-01-07,239.30999755859372,240.0,237.58999633789065,238.0399932861328,208.87765502929688,1518900,0.0
2020-01-08,237.92999267578125,239.5800018310547,236.6100006103516,238.22000122070312,209.03561401367188,2214700,0.0
2020-01-09,239.69000244140625,239.69000244140625,237.97000122070312,238.92999267578125,209.6586151123047,1629000,0.0
2020-01-10,238.67999267578125,240.92999267578125,237.6100006103516,238.25999450683597,209.0707244873047,1777600,0.0
2020-01-13,238.25999450683597,238.3300018310547,234.7899932861328,236.9199981689453,207.89488220214844,2004400,0.0
2020-01-14,235.8000030517578,240.67999267578125,235.1699981689453,240.0,210.59754943847656,2239100,0.0
2020-01-15,240.6699981689453,242.6000061035156,240.0500030517578,241.6999969482422,212.08929443359372,1920700,0.0
2020-01-16,242.17999267578125,243.8500061035156,239.8500061035156,240.5,211.03628540039065,2085700,0.0
2020-01-17,242.1100006103516,242.13999938964844,239.2700042724609,241.4900054931641,211.9049835205078,2582800,0.0
2020-01-21,240.97000122070312,242.00999450683597,237.25999450683597,237.6000061035156,208.49159240722656,3094200,0.0
2020-01-22,238.75,239.6999969482422,235.75999450683597,236.75,207.7457427978516,1998200,0.0
2020-01-23,237.05999755859372,237.05999755859372,233.07000732421875,235.0399932861328,206.2451934814453,2088700,0.0
2020-01-24,235.8000030517578,235.8800048828125,224.5,225.58999633789065,197.95291137695312,5019900,0.0
2020-01-27,223.67999267578125,224.92999267578125,221.1699981689453,222.9499969482422,195.63638305664065,2843600,0.0
2020-01-28,223.57000732421875,226.6999969482422,222.8500061035156,224.83999633789065,197.29481506347656,2103900,0.0
2020-01-29,225.5,228.92999267578125,225.0,227.1499938964844,199.32179260253903,2001100,0.0
2020-01-30,226.0,226.97000122070312,223.30999755859372,226.1499938964844,198.4443206787109,2581600,0.0
2020-01-31,218.75999450683597,219.0800018310547,210.00999450683597,216.0500030517578,189.5816802978516,5968900,0.0
2020-02-03,216.38999938964844,219.6199951171875,215.55999755859372,216.8800048828125,190.3099822998047,2565400,0.0
2020-02-04,220.7700042724609,223.8500061035156,220.47999572753903,221.80999755859372,194.63601684570312,2765300,0.0
2020-02-05,223.7400054931641,234.63999938964844,223.7400054931641,231.94000244140625,203.5250244140625,3669500,0.0
2020-02-06,233.72000122070312,233.88999938964844,229.33999633789065,231.4499969482422,203.09503173828125,2007500,0.0
2020-02-07,231.41000366210935,232.17999267578125,227.6699981689453,229.3300018310547,201.23475646972656,2295100,0.0
2020-02-10,228.1499938964844,228.9600067138672,226.25999450683597,227.4199981689453,199.5587615966797,2144700,0.0
2020-02-11,227.6999969482422,229.47000122070312,226.8000030517578,228.9600067138672,200.9100646972656,1934500,0.0
2020-02-12,229.47000122070312,230.22999572753903,225.8800048828125,227.0,199.190185546875,2501300,0.0
2020-02-13,224.9900054931641,226.5200042724609,222.82000732421875,223.0399932861328,197.1046142578125,1946500,0.0
2020-02-14,222.92999267578125,223.4900054931641,221.33999633789065,223.47999572753903,197.49346923828125,1611900,0.0
2020-02-18,224.1499938964844,224.3500061035156,220.9199981689453,221.69000244140625,195.9116058349609,1936400,0.0
2020-02-19,222.94000244140625,224.0500030517578,222.0500030517578,222.9600067138672,197.03392028808597,1322900,0.0
2020-02-20,223.1999969482422,223.47999572753903,218.50999450683597,222.13999938964844,196.3092803955078,1638000,0.0
2020-02-21,222.2400054931641,223.8000030517578,220.9900054931641,222.7899932861328,196.8836975097656,2047500,0.0
2020-02-24,219.8800048828125,223.9900054931641,215.75999450683597,217.8800048828125,192.54466247558597,3049600,0.0
2020-02-25,218.0800018310547,219.55999755859372,209.82000732421875,210.3800048828125,185.91671752929688,3915500,0.0
2020-02-26,216.17999267578125,216.6999969482422,212.0200042724609,214.5399932861328,189.593017578125,3314000,0.0
2020-02-27,214.9199981689453,215.27999877929688,203.22000122070312,203.5,179.8367462158203,4071100,0.0
2020-02-28,198.0500030517578,203.0,195.17999267578125,199.72999572753903,176.505126953125,5316100,0.0
2020-03-02,199.8999938964844,212.3699951171875,198.7100067138672,212.1999969482422,187.52511596679688,4245700,1.0
2020-03-03,210.33999633789065,216.16000366210935,202.66000366210935,204.4199981689453,180.64979553222656,3975100,1.0
2020-03-04,209.52999877929688,215.2899932861328,207.6199951171875,215.1100006103516,190.09671020507807,3880200,1.0
2020-03-05,207.66000366210935,216.38999938964844,207.5800018310547,212.1199951171875,187.4544219970703,3185400,1.0
2020-03-06,203.97000122070312,211.6100006103516,203.82000732421875,210.6499938964844,186.1553497314453,3100500,1.0
2020-03-09,197.7400054931641,203.6199951171875,190.75,198.3699951171875,175.3032989501953,4065600,18.0
2020-03-10,203.3600006103516,207.1000061035156,194.6699981689453,206.8000030517578,182.7530517578125,3928700,18.0
2020-03-11,201.0,203.9199981689453,195.80999755859372,198.6499938964844,175.55072021484375,3777000,18.0
